seed,contrast,eval_success_mean,eval_reward_mean,final_eval_success,final_eval_reward,last20_mean_rollout_reward,last20_weighted_poi_completion,last20_goal_achieved,last20_arrival_rate
0,REAL_MINUS_ZERO,0.0,10.534684401653124,0.125,115.16748181503806,0.008278205820533915,0.02532101519173008,0.0,0.0009765625
0,ZERO_MINUS_OFF,0.05,5.086535443702246,0.0,-74.04770531928489,-0.010652974451659247,-0.0601398565806448,-0.0007812500000000007,0.0009765625
0,REAL_MINUS_OFF,0.05,15.62121984535537,0.125,41.11977649575317,-0.002374768631125332,-0.03481884138891472,-0.0007812500000000007,0.001953125
1,REAL_MINUS_ZERO,0.012499999999999997,-18.92538605466632,0.0,4.300873679416441,-0.11171044066140895,-0.05960010920534842,-0.0046875,0.004101562499999999
1,ZERO_MINUS_OFF,0.012499999999999997,90.12307766984839,0.25,961.781743628236,0.022138035703392234,0.05489531663479286,-0.0007812500000000007,0.0
1,REAL_MINUS_OFF,0.024999999999999994,71.19769161518207,0.25,966.0826173076523,-0.08957240495801672,-0.0047047925705555604,-0.0054687500000000005,0.004101562499999999
2,REAL_MINUS_ZERO,-0.06249999999999999,125.24908089282602,-0.125,33.41520039962418,-0.2685942762036575,-0.06743840316194111,-0.00546875,0.025390625000000003
2,ZERO_MINUS_OFF,-0.0625,11.533820301889989,0.125,461.2572473225839,-0.08427318536560051,-0.09141713002463803,-0.004687500000000001,-0.02265625
2,REAL_MINUS_OFF,-0.125,136.782901194716,0.0,494.67244772220806,-0.352867461569258,-0.15885553318657913,-0.01015625,0.002734375000000004
3,REAL_MINUS_ZERO,0.012499999999999997,31.960249364617255,0.125,177.816340640514,0.08292742889316287,0.013491790601983689,0.000781249999999999,-0.0003906249999999986
3,ZERO_MINUS_OFF,-0.037500000000000006,23.119159482290513,-0.125,-18.793940671451367,-0.02876279688935028,-0.03402721945312809,0.0015624999999999997,0.0001953124999999993
3,REAL_MINUS_OFF,-0.02500000000000001,55.07940884690777,0.0,159.02239996906263,0.05416463200381259,-0.0205354288511444,0.0023437499999999986,-0.0001953124999999993
4,REAL_MINUS_ZERO,0.0625,-41.111751032856375,0.0,41.33987654621586,-0.061551451185368936,-0.048885524534853175,-0.0023437500000000003,-0.005859375
4,ZERO_MINUS_OFF,-0.0375,-32.06296370972902,0.0,-4.636863679420799,0.4199875867387164,0.11696846221166196,0.0078125,0.0001953124999999993
4,REAL_MINUS_OFF,0.025,-73.1747147425854,0.0,36.70301286679506,0.3584361355533474,0.06808293767680879,0.00546875,-0.005664062500000001
