condition,seed,update_1,update_200,change,source
OFF,0,0.8378772139549255,0.8396569490432739,0.0017797350883483887,TensorBoard
OFF,1,0.837577223777771,0.84603351354599,0.008456289768218994,TensorBoard
OFF,2,0.8378772139549255,0.8388693332672119,0.000992119312286377,TensorBoard
OFF,3,0.8378772139549255,0.8531296253204346,0.015252411365509033,TensorBoard
OFF,4,0.8378772139549255,0.8514047861099243,0.01352757215499878,TensorBoard
REAL,0,0.8381772041320801,0.8507184982299805,0.01254129409790039,TensorBoard
REAL,1,0.8378772139549255,0.8464514017105103,0.008574187755584717,TensorBoard
REAL,2,0.8378772139549255,0.8399308919906616,0.002053678035736084,TensorBoard
REAL,3,0.8378772139549255,0.8425365686416626,0.0046593546867370605,TensorBoard
REAL,4,0.8378772139549255,0.8521904349327087,0.014313220977783203,TensorBoard
ZERO,0,0.8381772041320801,0.8472716212272644,0.009094417095184326,TensorBoard
ZERO,1,0.8378772139549255,0.8415191173553467,0.0036419034004211426,TensorBoard
ZERO,2,0.8378772139549255,0.8426580429077148,0.004780828952789307,TensorBoard
ZERO,3,0.8378772139549255,0.8495250940322876,0.01164788007736206,TensorBoard
ZERO,4,0.8378772139549255,0.8462583422660828,0.008381128311157227,TensorBoard
