condition,seed,value,source
REAL-ZERO,0,10.53468370437622,TensorBoard
REAL-ZERO,1,-18.925379943847645,TensorBoard
REAL-ZERO,2,125.24907684326172,TensorBoard
REAL-ZERO,3,31.960247325897228,TensorBoard
REAL-ZERO,4,-41.111748957634006,TensorBoard
